,95.0
0,95.0
1,94.7
2,95.25
3,95.25
4,95.0
5,94.63
6,94.06
7,93.5
8,93.5
9,94.19
10,93.46
11,93.0
12,92.62
13,92.0
14,92.0
15,92.98
16,92.98
17,92.88
18,92.29
19,91.12
20,91.0
21,91.05
22,93.91
23,94.07
24,94.0
25,95.0
26,94.68
27,93.23
28,91.44
29,91.5
30,89.4
31,90.1
32,90.75
33,91.49
34,91.0
35,91.15
36,91.15
37,91.98
38,92.0
39,92.0
40,90.05
41,90.25
42,91.08
43,91.08
44,91.8
45,92.0
46,91.89
47,91.0
48,91.0
49,91.0
50,91.0
51,91.21
52,91.75
53,91.99
54,91.99
55,91.99
56,91.99
57,91.99
58,91.99
59,91.99
60,91.99
61,91.99
62,92.5
63,92.5
64,92.5
65,92.49
66,92.4
67,92.02
68,92.5
69,92.4
70,93.78
71,93.88
72,93.88
73,93.8
74,92.4
75,92.48
76,92.47
77,92.4
78,92.5
79,92.5
80,92.5
81,92.49
82,92.47
83,92.5
84,92.8
85,92.8
86,93.5
87,93.5
88,93.4
89,93.34
90,93.5
91,93.0
92,93.24
93,93.24
94,93.22
95,93.5
96,93.97
97,93.9
98,94.0
99,94.0
100,94.31
101,95.02
102,95.15
103,95.15
104,95.3
105,95.5
106,96.0
107,96.52
108,98.0
109,98.06
110,99.0
111,99.0
112,99.0
113,98.5
114,98.0
115,97.22
116,98.29
117,98.5
118,97.23
119,98.4
120,98.0
121,98.0
122,98.0
123,98.75
124,98.99
125,98.98
126,98.98
127,98.3
128,98.5
129,98.01
130,97.4
131,97.9604
132,97.02
133,97.26
134,97.01
135,96.7
136,97.01
137,97.1004
138,97.3
139,97.5
140,97.5
141,98.0
142,98.89
143,98.5
144,98.0
145,98.0
146,98.4
147,98.4
148,98.05
149,98.4
150,98.38
151,98.0
152,98.4
153,98.0
154,98.0
155,97.75
156,97.1
157,97.19
158,96.55
159,96.82
160,97.0
161,96.7
162,96.9999
163,96.99
164,97.0
165,96.99
166,97.0
167,97.7
168,97.84
169,98.0
170,98.0
171,98.0
172,98.0
173,98.0
174,97.9
175,97.89
176,97.5
177,97.15
178,97.44
179,97.44
180,97.4
181,97.43
182,97.0
183,97.35
184,97.02
185,97.02
186,97.0
187,97.17
188,97.2304
189,97.23
190,97.18
191,97.4
192,97.4
193,97.44
194,97.44
195,97.44
196,97.43
197,97.17
198,97.17
199,97.0
200,97.2
201,97.0
202,97.0
203,97.0
204,97.01
205,97.3
206,97.0
207,97.15
208,97.0
209,97.0
210,97.01
211,97.0
212,97.08
213,97.2
214,97.29
215,97.0
216,97.0
217,97.0
218,97.06
219,97.29
220,97.03
221,97.29
222,97.27
223,97.09
224,97.29
225,97.48
226,97.75
227,97.5
228,97.0
229,97.0
230,97.0
231,97.01
232,97.1
233,97.01
234,97.25
235,97.25
236,97.02
237,96.84
238,96.21
239,95.19
240,96.65
241,97.0
242,97.805
243,98.5
244,97.85
245,97.47
246,97.0
247,96.575
248,96.5001
249,96.5097
250,96.505
251,94.83
252,93.85
253,92.8525
254,92.26
255,92.052
256,91.27
257,91.87100000000001
258,92.1
259,92.181
260,92.75
261,91.19
262,91.14
263,91.6271
264,92.52
265,92.2599
266,93.145
267,93.05
268,93.1678
269,93.34
270,93.29
271,93.54
272,92.02
273,91.88
274,91.49
275,91.11
276,91.73
277,92.12
278,92.12
279,91.7573
280,91.25
281,91.41
282,91.42
283,91.58
284,91.9716
285,91.51
286,91.0098
287,90.505
288,90.69
289,90.98
290,90.5302
291,90.7099
292,91.69
293,91.47
294,91.0001
295,91.1299
296,91.5299
297,91.2
298,90.95
299,91.2386
300,91.45
301,90.88
302,91.38
303,91.4
304,91.32
305,91.0101
306,90.87
307,90.95
308,91.04
309,91.315
310,91.54
311,91.51
312,91.2916
313,91.75
314,91.68
315,91.13
316,91.08
317,90.97
318,91.435
319,91.0
320,90.9158
321,90.4117
322,90.8378
323,91.13
324,92.45
325,92.06
326,91.87
327,91.7912
328,91.9112
329,91.6039
330,91.5
331,91.7901
332,92.04
333,92.14
334,92.41
335,91.99
336,92.085
337,92.215
338,92.145
339,92.4
340,92.98
341,92.57
342,92.62
343,92.7
344,92.41
345,92.445
346,92.61
347,92.595
348,92.625
349,92.98
350,93.18
351,93.0
352,92.7819
353,92.9268
354,92.54
355,92.5501
356,92.6019
357,92.61
358,92.7876
359,92.3
360,92.23
361,92.18
362,92.19
363,91.74
364,91.785
365,91.3701
366,91.29
367,90.79
368,91.37
369,91.37
370,91.26
371,91.084
372,91.3599
373,91.17
374,91.1
375,91.36
376,91.2988
377,91.1
378,91.52
379,91.49799999999999
380,91.516
381,91.39
382,91.1
383,91.01
384,91.09
385,90.785
386,90.6301
387,90.64
388,90.83
389,90.81
390,90.53
391,90.73
392,90.7869
393,90.755
394,90.61
395,90.675
396,90.61
397,91.34
398,90.79
399,90.76
400,91.3043
401,91.395
402,91.598
403,91.2
404,91.18
405,91.21
406,91.505
407,91.2501
408,91.31
409,91.835
410,90.945
411,91.39
412,91.141
413,91.16
414,90.62
415,90.68
416,91.11
417,90.81
418,91.2354
419,91.2799
420,91.3484
421,91.24
422,91.03
423,91.06
424,91.31
425,91.355
426,91.3
427,91.3138
428,91.68
429,91.665
430,91.77
431,92.47
432,92.035
433,92.26
434,92.6
435,92.5
436,92.54
437,92.51
438,92.56
439,93.0
440,93.6504
441,93.34
442,92.8
443,93.34
444,93.495
445,92.961
446,93.065
447,93.11
448,93.445
449,93.25
450,93.191
451,93.2
452,93.245
453,93.5954
454,93.4711
455,93.6436
456,93.73
457,93.67
458,93.59
459,93.17
460,93.51
461,93.6
462,93.315
463,93.24
464,93.71
465,93.7388
466,94.5799
467,94.2418
468,93.7522
469,93.9088
470,94.06
471,94.5
472,94.01
473,94.3
474,94.24
475,94.085
476,94.21
477,94.2637
478,94.37
479,94.495
480,94.45
481,94.2381
482,94.1899
483,94.3795
484,94.406
485,94.44
486,94.3218
487,94.09
488,94.3
489,94.3
490,94.3795
491,94.4209
492,94.17
493,94.21
494,93.39
495,93.53
496,93.699
497,93.87
498,93.84
499,93.52
500,93.2
501,93.3976
502,93.28
503,93.47
504,93.5999
505,93.8654
506,94.0
507,94.17
508,94.14
509,94.0
510,94.22
511,94.45
512,94.55
513,94.69
514,94.37
515,94.594
516,94.78
517,94.38
518,94.37
519,94.36
520,94.5064
521,94.375
522,94.11
523,93.8
524,94.115
525,94.245
526,94.365
527,94.465
528,94.535
529,94.475
530,94.59
531,94.88
532,94.74
533,94.735
534,94.825
535,94.99
536,94.8
537,94.96
538,95.07
539,95.3268
540,95.0601
541,95.28200000000001
542,95.18
543,95.1
544,95.27
545,95.24
546,95.4092
547,95.56
548,95.7832
549,95.52
550,95.34
551,95.1401
552,95.16
553,95.3832
554,95.579
555,95.56
556,95.45
557,95.555
558,95.67
559,95.63
560,95.695
561,95.935
562,95.85
563,95.92
564,95.98
565,95.8459
566,95.425
567,95.465
568,95.8318
569,95.56
570,95.395
571,95.46
572,95.52
573,95.51
574,95.7088
575,95.5
576,95.3914
577,95.12
578,95.07
579,95.08
580,95.14
581,95.1
582,94.9825
583,94.89
584,95.09
585,95.1658
586,95.07
587,95.05
588,94.84
589,94.77
590,94.52
591,94.39
592,94.14
593,94.0901
594,94.5
595,94.36
596,94.21
597,94.29
598,94.285
599,94.62
600,94.6121
601,94.6301
602,94.4739
603,94.38
604,94.2301
605,94.38
606,94.29
607,94.374
608,94.335
609,94.415
610,94.39
611,94.5101
612,94.46
613,94.51
614,94.4564
615,94.68
616,94.69
617,94.65
618,94.74
619,94.74
620,94.51
621,94.68
622,94.52
623,94.7
624,94.62
625,94.545
626,94.6895
627,94.62
628,94.66
629,94.6055
630,94.56
631,94.66
632,94.605
633,94.6
634,94.315
635,94.21
636,93.985
637,93.9999
638,94.04
639,94.07
640,93.9343
641,94.02
642,93.98
643,94.16
644,94.46
645,94.3481
646,95.27
647,94.495
648,94.8293
649,94.9
650,94.89
651,95.29
652,95.2284
653,95.45
654,95.435
655,95.75
656,95.75
657,95.94
658,95.7601
659,96.05
660,95.95
661,95.85
662,95.83
663,95.9995
664,95.9018
665,96.305
666,95.9
667,95.82
668,95.51
669,95.76
670,95.97
671,96.4995
672,96.21
673,95.8007
674,95.75
675,96.3969
676,96.63
677,96.255
678,96.09
679,96.28
680,96.16
681,96.46799999999999
682,96.37200000000001
683,96.655
684,96.7659
685,96.44
686,96.51
687,96.43
688,96.39
689,96.33
690,96.44
691,96.46
692,96.45
693,96.9112
694,96.88
695,96.9995
696,97.3043
697,96.97
698,97.04
699,97.1595
700,96.955
701,97.02
702,97.35
703,97.41
704,97.5
705,97.54
706,97.64
707,97.785
708,98.01
709,98.25
710,98.59
711,98.2577
712,98.205
713,98.38
714,98.25
715,98.2
716,98.285
717,98.32
718,98.17
719,97.97
720,97.685
721,97.72
722,97.76
723,97.96
724,98.1999
725,97.86
726,97.995
727,97.935
728,98.0662
729,98.045
730,97.91
731,97.6148
732,97.31299999999999
733,97.3099
734,97.15
735,97.115
736,97.31
737,97.419
738,97.54
739,97.2
740,97.1666
741,97.01
742,97.0102
743,97.355
744,97.24
745,97.2158
746,97.245
747,97.25
748,97.131
749,96.5838
750,96.605
751,96.6585
752,97.0405
753,97.45
754,97.68
755,97.5046
756,97.58
757,97.94
758,98.46
759,98.21
760,98.08
761,98.21
762,98.195
763,98.17
764,98.5995
765,98.775
766,98.78
767,98.73
768,98.56
769,98.15
770,98.32
771,98.84
772,98.439
773,98.5104
774,97.84
775,97.98
776,97.99
777,97.9995
778,98.24
779,98.26
780,98.4564
781,98.54
782,98.2001
783,97.955
784,98.04
785,98.68
786,98.73
787,98.8
788,98.22
789,98.0
790,98.02
791,98.27
792,98.16
793,98.37
794,98.2295
795,97.9501
796,97.96
797,97.6101
798,97.8199
799,97.81
800,97.7395
801,97.51
802,97.49
803,97.4699
804,97.0717
805,97.035
806,96.6414
807,97.07
808,97.1
809,97.32
810,97.3699
811,97.6241
812,97.71
813,97.7201
814,98.17
815,98.3468
816,98.2555
817,97.865
818,97.3084
819,97.65
820,97.6835
821,97.7981
822,97.92
823,98.07
824,98.3995
825,98.6
826,98.2
827,97.6718
828,97.75
829,98.26
830,98.39
831,98.3028
832,98.47
833,98.2132
834,98.02
835,97.93
836,97.85
837,97.9401
838,98.42
839,98.52
840,98.48
841,98.455
842,98.21
843,98.02
844,98.1101
845,98.14
846,98.2573
847,98.1178
848,98.0
849,98.02600000000001
850,97.995
851,98.04
852,97.955
853,97.2793
854,97.41
855,97.5895
856,97.53
857,97.5501
858,97.4205
859,97.6095
860,97.8866
861,97.5695
862,97.25
863,97.3265
864,97.33
865,97.5
866,97.5795
867,97.675
868,97.8695
869,97.86
870,98.0
871,97.94
872,98.0795
873,98.1995
874,98.05
875,98.06
876,98.19
877,98.3
878,98.39
879,98.5
880,98.31
881,98.17
882,98.13
883,98.0
884,97.79
885,97.745
886,98.1137
887,98.0221
888,98.18
889,98.13
890,97.99
891,97.895
892,97.59
893,97.39
894,97.265
895,97.37
896,97.405
897,97.6859
898,97.19
899,97.2
900,97.4156
901,97.36
902,97.41
903,97.2501
904,97.02
905,96.7956
906,96.7301
907,96.9
908,96.852
909,96.37
910,96.6175
911,96.4801
912,96.28
913,96.3001
914,96.415
915,96.39
916,96.38
917,96.47
918,96.4695
919,96.7005
920,96.6526
921,96.7
922,96.7292
923,96.7127
924,96.81
925,96.45
926,96.5
927,96.8
928,96.7225
929,96.39
930,96.5
931,96.3901
932,96.28
933,96.1605
934,96.2601
935,96.5251
936,96.4732
937,96.7
938,96.6005
939,96.7
940,96.36
941,96.08
942,96.2
943,96.4257
944,96.3355
945,96.3
946,96.38
947,96.13
948,96.16
949,96.02
950,96.135
951,96.1834
952,96.01
953,96.02
954,95.6842
955,95.6947
956,96.0
957,95.86
958,95.81
959,95.88
960,95.62
961,95.47
962,95.57
963,95.44
964,95.63
965,95.8494
966,95.93
967,95.85
968,95.9195
969,95.92
970,96.0492
971,96.02
972,96.1099
973,96.0895
974,96.042
975,96.1
976,95.88
977,95.8805
978,95.935
979,95.99
980,96.3927
981,96.37
982,96.18
983,95.98
984,95.9001
985,95.95
986,95.82
987,95.82
988,96.03
989,95.95
990,95.82
991,95.82
992,95.8201
993,95.75
994,95.73
995,95.53
996,95.65
997,95.61
998,95.3176
999,95.31
1000,95.3345
1001,95.2701
1002,95.0701
1003,95.238
1004,95.5095
1005,95.41
1006,95.41
1007,95.23
1008,95.275
1009,95.44
1010,95.41
1011,95.4
1012,95.59
1013,95.55
1014,95.6699
1015,95.6301
1016,95.75
1017,96.08
1018,95.9
1019,95.61
1020,95.7129
1021,95.58
1022,95.525
1023,95.6498
1024,95.525
1025,95.525
1026,95.4509
1027,95.49
1028,95.53
1029,95.55
1030,95.46
1031,95.42
1032,95.39
1033,95.4842
1034,95.46600000000001
1035,95.545
1036,95.575
1037,95.6
1038,95.585
1039,95.65
1040,95.64
1041,95.6
1042,95.56
1043,95.75
1044,95.7369
1045,95.74
1046,95.75
1047,95.74
1048,95.73
1049,95.77
1050,95.7819
1051,95.7734
1052,95.78
1053,95.72
1054,95.71
1055,95.745
1056,95.725
1057,95.72
1058,95.77
1059,96.115
1060,96.3636
1061,96.36
1062,96.3725
1063,96.4
1064,96.39
1065,96.4
1066,96.4834
1067,96.63
1068,96.646
1069,96.4985
1070,96.45
1071,96.4546
1072,96.3
1073,96.29
1074,96.25
1075,96.2439
1076,96.14
1077,96.0215
1078,95.8208
1079,95.85
1080,95.77
1081,95.6524
1082,95.6095
1083,95.655
1084,95.76
1085,95.7044
